name,description,price,stock_quantity,image_url,weight,length,width,height,origin_zip,category_id
Produto de exemplo 1,Produtos Classe A,100.0,0,,0.5,16,11,2,82820-160,
Travesseiro terapêutico HAIFLEX,"Características
\n
\nOs travesseiros são firmes e confeccionados com espuma perfilada terapêutica auto massageadora. Possibilita uma massagem que relaxa a musculatura dos ombros e pescoço, aliviando tensões e melhorando a circulação. Une o Infravermelho Longo, tecnologia que simula as características mais benéficas dos raios solares, e a Magnetoterapia, uma terapia natural que oferece inúmeros benefícios ao organismo.
\n
\nAnti alérgica, anti ácaros e anti fungos.
\n
\n&nbsp;
\n
\nOs principais benefícios
\n
\n* Atua no alinhamento da coluna cervical
\n* Alivia dores nas costas
\n* Melhora a circulação e oxigenação sanguínea, induzindo a um sono profundo e reparador
\n* Favorece o controle da pressão arterial, ajuda a prevenir doenças cardiovasculares
\n* Aumenta a imunidade do organismo, além de possuir ação analgésica sobre dores do corpo
\n* Melhora a enxaqueca
\n* Previne o estresse
\n* Possui ação anti-inflamatória, sendo ideal desde o alívio de febres até a recuperação pós-operatória",235.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/10.jpg,0.5,16,11,2,82820-160,51
Sapato social masculino com Couro Bovino,"Sapato social masculino feito à mão em couro bovino.
\n
\nCroco preto.
\n
\nPossui sola em PU ou seja, solado de poliuretano (PU) . Um material de ótima qualidade e que oferece proteção e conforto, bastante resistente e duradouro",340.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/5.jpg,0.5,16,11,2,82820-160,22
Camisa manga longa slim fit button down xadrez,"° Camisa manga longa slim fit button down xadrez
\n
\n° Azul com Branco
\n
\n° Ref: 11010120153570
\n
\n&nbsp;
\n
\n° Camisa manga longa modelagem SLIM FIT, levemente ajustada ao corpo.
\n
\n° Puro algodão fio 60, colarinho BUTTON DOWN
\n
\n° Clássica e atemporal.
\n
\n° Composição: 100% Algodão",219.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/4.jpg,0.5,16,11,2,82820-160,
Camisa Polo modal,"A polo modal tem padronagem bicolor, com pontos sutis e elegância em sua combinação de cores.
\n
\nComposição: 84% Modal e 16% Elastano.",176.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/3.jpg,0.5,16,11,2,82820-160,9
Colçhão CLASSIC,"COLCHÃO CLASSIC
\n
\nTerapias disponíveis no Colchão Classic
\n
\n* COLCHÃO ELÉTRICO COM 34 CM ALTURA, TAMPO EM MALHA 400G, CONFORTO EXTRA FIRME.
\n
\n* ESPUMA PERFILADA DENSIDADE 40, PASTILHADA COM IMÃS E INFRA VERMELHO LONGO, MAIS LÁTEX E ESPUMA D33 MACIA NO PILOW.
\n
\n* ESTRUTURA COM BORDA DE ESPUMA E POLIESTIRENO EXPANDIDO (EPS), COM SUPORTE ATÉ 180KG.
\n
\n* KIT VIBRO MASSAGEM COM 24 ESTÁGIOS E 8 MOTORES, ENERGIA QUÂNTICA E CROMOTERAPIA NO CONTROLE.
\n
\n* SUPORTE DE PESO - ATÉ 180 KG POR PESSOA",5980.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/1.jpg,40.0,1,11,0,82820-160,
"Box de Madeira Casal Padrão Medidas 1,38 x 1,88","Box de Madeira Casal Padrão Medidas 1,38 x 1,88
\n
\npreço : R$755.00
\n
\n* BASE 100% EUCALIPTO REVESTIDO COM ISOLANTE ANTIMOFO E RUÍDO E TECIDO MALHA 180G, PÉS ALUMÍNIO.
\n
\n&nbsp;
\n
\n* IMAGEM ILUSTRATIVA",755.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/9.jpg,0.5,16,11,2,82820-160,50
COLCHÃO TERAPÊUTICO HAIFLEX PRÓ-SAÚDE SOLTEIRO,"<strong>Colchão Terapêuticos (VIBRO)</strong>
\n
\nSolteiro 0,88 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\n° Pillow Top
\n° Powerchip®️
\n° Perfilado Rabatan
\n° Infrapower
\n° Densidade Inteligente
\n° Energia Quântica
\n° Tecido Soft
\n
\n&nbsp;
\n
\nGarantia 2 anos",6120.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE.jpeg",20.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRÓ-SAÚDE CASAL PADRÃO,"<strong>Colchão Terapêuticos (VIBRO)</strong>
\n
\nCasal Padrão 1,38 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\n° Pillow Top
\n° Powerchip®️
\n° Perfilado Rabatan
\n° Infrapower
\n° Densidade Inteligente
\n° Energia Quântica
\n° Tecido Soft
\n
\nGarantia 2 anos",7200.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE-1.jpeg,30.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRÓ-SAÚDE CASAL QUEEN,"<strong>Colchão Terapêuticos (VIBRO)</strong>
\n
\nCasal Queen 1,58 x 1,98 x 26
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\n° Pillow Top
\n° Powerchip®️
\n° Perfilado Rabatan
\n° Infrapower
\n° Densidade Inteligente
\n° Energia Quântica
\n° Tecido Soft
\n
\nGarantia 2 anos",8100.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE-1.jpeg,35.0,198,11,26,82820-160,54
